Evidence_ID,Person_ID,Event_ID,Claim_Supported,Source_Title,Source_Publisher,Source_URL,Publication_Date,Source_Type,Primary_or_Secondary,Archived_URL,Date_Accessed,Relevant_Excerpt_or_Summary,Evidence_Strength
EV0011,Unknown,E096,UmojaHack Africa (Zindi inter-university virtual data hackathon; ~$20k prizes): winners included teams from Stellenbosch University and University of Cape Town (SA) and SUPCOM (Tun,One thousand data scientists join hands across closed borders for UmojaHack Africa,Zindi (Medium),https://zindi.medium.com/one-thousand-data-scientists-join-hands-across-closed-borders-for-umojahack-africa-6edfe56b0452,2021-12-16,Organiser publication,Primary,Unknown,2026-08-26,UmojaHack Africa (Zindi inter-university virtual data hackathon; ~$20k prizes): winners included teams from Stellenbosch University and University of Cape Town (SA) and SUPCOM (Tunisia); challenges incl. SAEON marine classification (SA waters); 164 first-time submitters,Moderate
EV0012,Unknown,E096,"UmojaHack Africa 2021 (27-28 Mar 2021): 1000+ students from 126 universities, 9 countries; challenges: financial resilience, Sendy logistics, InstaDeep DeepChain biology; $10k+ pri",Africa's largest inter-university hackathon brings students together on Zindi,"APO Group (press release, Johannesburg dateline)",https://www.africa-newsroom.com/press/africas-largest-interuniversity-hackathon-brings-students-together-on-zindi-for-data-science-for-good?lang=en,2021-04-08,Organiser press release,Primary,Unknown,2026-08-26,"UmojaHack Africa 2021 (27-28 Mar 2021): 1000+ students from 126 universities, 9 countries; challenges: financial resilience, Sendy logistics, InstaDeep DeepChain biology; $10k+ prizes; winners from 9 African countries",Moderate
EV0013,Unknown,E097,SA GAME JAM — annual national competition sponsored by Free Lives; 2018 edition: R30k prize pool across Student/Hobbyist/Diversity categories + Best Art/Audio/Technical/Narrative +,SA Game Jam 2018,Make Games South Africa (forum),https://makegamessa.com/discussion/5375/sa-game-jam-2018,2018-08-15,Community forum,Participant-generated,Unknown,2026-08-26,SA GAME JAM — annual national competition sponsored by Free Lives; 2018 edition: R30k prize pool across Student/Hobbyist/Diversity categories + Best Art/Audio/Technical/Narrative + Overall R5k; winners announced by 8 October 2018,Moderate
EV0014,P0285 ; P0286 ; P0287 ; P0288 ; P0289 ; P0290 ; P0291 ; P0292 ; P0293 ; P0294 ; P0295 ; P0296,E098,"HackCorruption (Accountability Lab + CIPE + US State Dept INL), July 2022 hybrid event, 100 participants from 6 Southern/East African countries; winning teams to Johannesburg boot ",HackCorruption — South Africa Anti-Corruption Hackathon 2022,Accountability Lab (hackcorruption.org),https://hackcorruption.org/south-africa-hackathon/,2022,Organiser page,Primary,Unknown,2026-08-26,"HackCorruption (Accountability Lab + CIPE + US State Dept INL), July 2022 hybrid event, 100 participants from 6 Southern/East African countries; winning teams to Johannesburg boot camp (Oct 2022): Team 3 (Amon Peter, Baptista Joao, Farida Junior Kyababa, Linda McLeod, Saudai Sapi); Team 7 (Kunda Sakala, Nathan Chisanga, Nkina Ramonyai, Samuel Wakumelo); Team 14 (Eliud Luutsa, Maria Kauhondamwa, Matilda Mwendwa Gitonga, Wilbard Kangwiya, Baptiste Nardone); Team 22 (Angelic Mokoena, Lerato Tlhako, Lethabo Makopo — 'Digital Citizenship to Constrain Corruption')",Strong
EV0015,Unknown,E099,"Tech4Africa Johannesburg 2015: '12 tracks, 4 event days including a Hackathon and a Startup Day' (8-11 Oct 2015 window); hackathon winners not identified in directory",Tech4Africa Johannesburg 2015 — schedule & directory,Tech4Africa (sched.com),https://t4a2015.sched.com/2015-10-08/list/descriptions/,2015-10-08,Event directory,Primary,Unknown,2026-08-26,"Tech4Africa Johannesburg 2015: '12 tracks, 4 event days including a Hackathon and a Startup Day' (8-11 Oct 2015 window); hackathon winners not identified in directory",Moderate
EV0016,P0302 ; P0303 ; P0304 ; P0305 ; P0306 ; P0307 ; P0308 ; P0309 ; P0310 ; P0311 ; P0312 ; P0313,E100,"G20 Tourism Hackathon: UJ students Teagon Spykerman (The Catalysts, 1st, Hologram Hub, R175k) and Inganathi Zimela (Map My Biz, 2nd, R140k); 46 young people from 21 universities; A",UJ students scoop top two places in G20 tourism challenge using AI,TimesLIVE,https://www.timeslive.co.za/news/south-africa/2025-10-08-uj-students-scoop-top-two-places-in-g20-tourism-challenge-using-ai/,2025-10-08,News article,Secondary,Unknown,2026-08-26,"G20 Tourism Hackathon: UJ students Teagon Spykerman (The Catalysts, 1st, Hologram Hub, R175k) and Inganathi Zimela (Map My Biz, 2nd, R140k); 46 young people from 21 universities; AI for job creation/sustainable tourism",Strong
EV0017,P0302 ; P0303 ; P0304 ; P0305 ; P0306 ; P0307 ; P0308 ; P0309,E100,"Inaugural G20 Tourism Hackathon launched June 2025 by Minister Patricia de Lille at University of the Western Cape; 46-48 youth, 21 institutions. 1st The Catalysts — R175k — member",South African youth enthral at the Inaugural G20 Tourism Hackathon challenge,Department of Tourism (gov.za),https://www.tourism.gov.za/AboutNDT/Branches1/domestic/News/Pages/South_African_youth_enthral_at_the_Inaugural_G20_Tourism_Hackathon_challenge.aspx,2025,Government news,Primary,Unknown,2026-08-26,"Inaugural G20 Tourism Hackathon launched June 2025 by Minister Patricia de Lille at University of the Western Cape; 46-48 youth, 21 institutions. 1st The Catalysts — R175k — members + institutions: Teagon Spykerman (UJ), Zinhle Methula (DUT), Innocentia Bongiwe Nkosi (University of Mpumalanga), Matshidiso Ralekholela (Independent Institute of Education), Morongwa Manamela (University of Pretoria), Tebogo Selepe (Vaal University of Technology), Khanyisa Mokgolobotho (Sefako Makgatho); 2nd Map My Biz R140k; 3rd Ubuntu Unlimited R105k; 4th-7th R35k per group",Strong
EV0018,P0272 ; P0273 ; P0274 ; P0275 ; P0276 ; P0277 ; P0278 ; P0279,E092,"PAICTA × UJ Technopreneurship Centre virtual Hackathon Challenge: 1st Young Innovator's Tech — Daun Ramulongo, Saad Rahman, Lesego Legodi, Tshegofatso Motshwane, Peter Maphalla (R8",Hackathon Challenge Success!,University of Johannesburg,https://news.uj.ac.za/news/hackathon-challenge-success-2/,2020-11/12 (repost 2023-05-30),University news,Primary,Unknown,2026-08-26,"PAICTA × UJ Technopreneurship Centre virtual Hackathon Challenge: 1st Young Innovator's Tech — Daun Ramulongo, Saad Rahman, Lesego Legodi, Tshegofatso Motshwane, Peter Maphalla (R85k value); 2nd Green Hacklethes led by Yoosef Haffejee (R66k); 3rd Easy_Just led by Tinashe Makamure (R45k); Best Female Hacker Charity Ruvurashe Chichichi; Rising Star Makamure; GeekHack Star Haffejee (UJ students)",Strong
EV0019,P0272 ; P0273 ; P0274 ; P0275 ; P0276,E092,"Corroborates PAICTA/UJ virtual hackathon: Young Innovators Tech win (agri app), R85k, UJ Technopreneurship development pipeline; mentors from CISCO, FNB, BMW, HERE Technologies, CS",Hackathon showcases innovators of the future,ITWeb,https://www.itweb.co.za/article/hackathon-showcases-innovators-of-the-future/KWEBbvyZGVb7mRjO,2020-12-02,News article,Secondary,Unknown,2026-08-26,"Corroborates PAICTA/UJ virtual hackathon: Young Innovators Tech win (agri app), R85k, UJ Technopreneurship development pipeline; mentors from CISCO, FNB, BMW, HERE Technologies, CSIR, Geekulcha, NMU etc.",Strong
EV0020,Unknown,E013,"DWS Hack4Water exhibition (two-day, 21-22 Apr 2016): ICT app challenge winners to be announced 22 April 2016; app winner names not stated in release",Water and Sanitation on Hack4Water exhibition,SA Government (gov.za),https://www.gov.za/speeches/dwss-hack4water-exhibition-brings-out-best-sas-hackers-22-apr-2016-0000,2016-04-22,Government news,Primary,Unknown,2026-08-26,"DWS Hack4Water exhibition (two-day, 21-22 Apr 2016): ICT app challenge winners to be announced 22 April 2016; app winner names not stated in release",Moderate
EV0021,Unknown,E017,"Continental standings: 1st Tokiva Sisters (TZ), 2nd Tech Gullies (SA), 3rd Code Forces (UG); 'Tech Gullies' vs ITWeb 'TechGurlies' spelling variant",Makerere University's Code Forces Triumph at the 2025 Absa GirlCode Hackathon,PC Tech Magazine,https://pctechmag.com/2025/10/makerere-university-triumph-at-the-2025-absa-girlcode-hackathon/,2025-10-21,News article,Secondary,Unknown,2026-08-26,"Continental standings: 1st Tokiva Sisters (TZ), 2nd Tech Gullies (SA), 3rd Code Forces (UG); 'Tech Gullies' vs ITWeb 'TechGurlies' spelling variant",Moderate
EV0022,P0310 ; P0311 ; P0312 ; P0313 ; P0314 ; P0315 ; P0316 ; P0317 ; P0318 ; P0319 ; P0320 ; P0321,Unknown,"Full page fetch: finals at Sabi River Sun Resort, Sabie River valley, Mpumalanga, 10-11 Sep 2025; youth from 9 provinces; launched Jun 2025 at UWC with Future Leaders Challenge; in",South African youth enthral at the Inaugural G20 Tourism Hackathon challenge (full page),Department of Tourism (gov.za),https://www.tourism.gov.za/AboutNDT/Branches1/domestic/News/Pages/South_African_youth_enthral_at_the_Inaugural_G20_Tourism_Hackathon_challenge.aspx,2025-09-12,Government news,Primary,Unknown,2026-08-26,"Full page fetch: finals at Sabi River Sun Resort, Sabie River valley, Mpumalanga, 10-11 Sep 2025; youth from 9 provinces; launched Jun 2025 at UWC with Future Leaders Challenge; in collaboration with Centre for Public Service Innovation and Geekulcha; top-3 presented at G20 Ministers' Meeting, Skukuza. FULL ROSTERS: The Catalysts (7); Map My Biz — Tshepiso Lebyane (UniVen), Inga Zamela (UJ), Janet De Graaf (International Hotel School), Lindelani Buhlenkosi Khunou (CPUT), Moses Mosuenyane (NWU), Kabelo Selopyane (TUT); Ubuntu Unlimited — Hishaam Langson (NMU), Thelma Makoma Rasekele (UNISA), Skhanyiso Dlamini (UNIZULU), Roos Moors (Eduvos), Mathapelo Ngubeni (CUT), Keotshepile Modise (SPU), Vusi Matlou (Eduvos)",Strong
EV0023,Unknown,E101 ; E102,#SS20Hack: 'fourth annual instalment' of ITWeb Security Summit hackathon with Geekulcha; online 24-27 Aug 2020; theme: solutions for a post-COVID world ('hack the virus'); prizes R,Virtual ITWeb Security Summit: seven keynotes / 'Hacking the virus',ITWeb,https://itweb.africa/article/hacking-the-virus-at-itwebs-security-summit/rxP3jMBmNoR7A2ye,2020-08-18,News article,Secondary,Unknown,2026-08-26,#SS20Hack: 'fourth annual instalment' of ITWeb Security Summit hackathon with Geekulcha; online 24-27 Aug 2020; theme: solutions for a post-COVID world ('hack the virus'); prizes R20k/R10k/R5k; Snode learnerships x4; Northern Cape leg led by NC Provincial Government (DEDAT) and Sol Plaatje University,Strong
EV0024,Unknown,E110,36-hour hackathon at TUT campus (July 2015): 15 Geekulcha VacWork high-school learners participated (YSEN vouchers); Best Presenter among learners; winning campus-improvement solut,A Weekend of Code at Tshwane University of Technology Campus,Nunn Innovation,https://www.nunnovation.com/2015/07/29/a-weekend-of-code-at-tshwane-university-of-technology-campus/,2015-07-29,Community media,Secondary,Unknown,2026-08-26,"36-hour hackathon at TUT campus (July 2015): 15 Geekulcha VacWork high-school learners participated (YSEN vouchers); Best Presenter among learners; winning campus-improvement solutions selected; prizes from Geekulcha, Microsoft and Intel; winner names not published",Moderate
EV0025,Unknown,E109,"Geekulcha VacWork editions: Tshwane Jul 2014 (first, mLab at Innovation Hub); Tshwane Mar 2015; Siyabuswa (Mpumalanga) Jul 2015 (60 learners); Tshwane Oct 2015 (mixed with Tech4Afr",The Work of Geekulcha (portfolio),Geekulcha (geekulcha.dev / gklink.co),https://www.geekulcha.dev/the-work?category=VacWork,2026 (portfolio),Organiser portfolio,Primary,Unknown,2026-08-26,"Geekulcha VacWork editions: Tshwane Jul 2014 (first, mLab at Innovation Hub); Tshwane Mar 2015; Siyabuswa (Mpumalanga) Jul 2015 (60 learners); Tshwane Oct 2015 (mixed with Tech4Africa); Johannesburg Mar 2016 (nanosatellites/healthcare); Giyani (Limpopo) May 2016; Tshwane Jul 2016; Soweto Dec 2016 ('Kasi App Lovers' voted best team at the second annual VacWork, Empowerment Zone). Programme-embedded competitive build challenges",Moderate
EV0026,P0347,E103 ; E104 ; E105,"28-30 Sep 2018, UJ Kingsway Campus, Auckland Park, Johannesburg; DPSA + CPSI; with UJ, Geekulcha, Open Data SA; NDP-linked; 420 participants (200 cap); R306,000 prizes; two-round j",Service Delivery Ignite Hackathon (#IgniteHack) — Devpost,Devpost,https://ignitehack.devpost.com/,2018,Competition platform,Primary,Unknown,2026-08-26,"28-30 Sep 2018, UJ Kingsway Campus, Auckland Park, Johannesburg; DPSA + CPSI; with UJ, Geekulcha, Open Data SA; NDP-linked; 420 participants (200 cap); R306,000 prizes; two-round judging (Top 10 -> Top 3); prizes incl. Most Secure Solution, Best Female Star, Ultimate GeekStar, Best Presenter, post-hack support (5 teams); build-up events: Medical Hackathon Limpopo 17-18 Aug 2018; Northern Cape Provincial Hackathon in De Aar; OpenCampus at SPU/TUT Soshanguve/Pearson/TUT eMalahleni/UMP; winners on project-gallery page (extraction pending)",Strong
EV0027,Unknown,E106,"22 Nov 2024 - 9 Feb 2025; Johannesburg, South Africa (virtual+in-person per origin); Upanzi Network (CMU-Africa) + MicroSave Consulting; $10,000 prizes; Grand Prize + 1st Runner-up",Digital ID Hackathon — Southern Africa — Devpost,Devpost,https://hackid-southernafrica.devpost.com/,2024-2025,Competition platform,Primary,Unknown,2026-08-26,"22 Nov 2024 - 9 Feb 2025; Johannesburg, South Africa (virtual+in-person per origin); Upanzi Network (CMU-Africa) + MicroSave Consulting; $10,000 prizes; Grand Prize + 1st Runner-up (laptops, CMU-Africa Industry Innovation Lab pre-incubation, ID4Africa 2025 Addis Ababa, paid Upanzi internships); 101 participants; regional winners not listed on landing page",Moderate
EV0028,Unknown,E106,Digital ID Hackathon Africa: four regional hackathons (Southern Africa regional hosted with Johannesburg listing); top two teams per region won prizes; overall grand prize at ID4Af,Forging the pan-African future of digital identity,CMU-Africa (Carnegie Mellon),https://www.africa.engineering.cmu.edu/news/2025/06/13-digital-id.html,2025-06-13,University news,Primary,Unknown,2026-08-26,"Digital ID Hackathon Africa: four regional hackathons (Southern Africa regional hosted with Johannesburg listing); top two teams per region won prizes; overall grand prize at ID4Africa AGM: Team Retro (Senegal); runner-up SmartTRAIS (CMU-Africa students, Rwanda); Southern Africa regional winning team names not stated in article",Moderate
EV0029,Unknown,E111,"UmojaHack Africa 2022 (Sun 20 Mar 2022, virtual) winners by Zindi username — Advanced (snake antivenom): 1 ASSAZZIN, 2 mo5mami, 3 DanielBruintjies; Intermediate (insurance claims):",UmojaHack Africa 2022 — challenge winner leaderboards,Zindi,https://zindi.africa/competitions/umojahack-africa-2022-advanced-challenge,2022-03-20,Competition platform,Primary,Unknown,2026-08-26,"UmojaHack Africa 2022 (Sun 20 Mar 2022, virtual) winners by Zindi username — Advanced (snake antivenom): 1 ASSAZZIN, 2 mo5mami, 3 DanielBruintjies; Intermediate (insurance claims): 1 Lawrence_Moruye, 2 Team Solo, 3 Enemy of Syntax; Beginner (air-quality sensors): 1 Mdda, 2 Pynux, + HACK-DATA (Côte d'Ivoire), heritianadanielina (Madagascar). Platform usernames — real identities not published on page (pseudonym rule applies)",Moderate
EV0030,Unknown,E107,"ETHCapeTown (Cape Town; ETHGlobal-affiliated community hackathon): author's team built 'dTok', selected as a hackathon winner by ETHGlobal plus sponsor prizes (Raiden, MakerDAO, Nu",ETHCapeTown Hackathon Recap (dTok),Stake Capital (Medium),https://medium.com/stakecapital/ethcapetown-hackathon-winners-168520fdefec,2019-06-05,Participant-generated,Participant-generated,Unknown,2026-08-26,"ETHCapeTown (Cape Town; ETHGlobal-affiliated community hackathon): author's team built 'dTok', selected as a hackathon winner by ETHGlobal plus sponsor prizes (Raiden, MakerDAO, NuCypher); ~30 beds for hackers; author's name not stated in excerpt",Moderate
EV0031,Unknown,E108,"SA Game Jam 2022 (November): Overall Winner R20,000; Student R10k; Hobbyist R10k; Diversity R10k; Best Art/Audio/Technical Excellence/Narrative/Physics R5k each",SA Game Jam set to return in November,Games Industry Africa,https://gamesindustryafrica.com/2022/10/23/sa-game-jam-set-to-return-in-november/,2022-10-23,Industry media,Secondary,Unknown,2026-08-26,"SA Game Jam 2022 (November): Overall Winner R20,000; Student R10k; Hobbyist R10k; Diversity R10k; Best Art/Audio/Technical Excellence/Narrative/Physics R5k each",Moderate
EV0032,P0012 ; P0013 ; P0014 ; P0015 ; P0016 ; P0017 ; P0256 ; P0257,E018,"Finals at rAge Expo 7 Oct: 1 Ryan Louw (Colonel Panic, C#, R70k); 2 Dion van Huyssteen R35k; 3 Anesu Jairosi R25k; 4 Jaco Mostert R25k; 5 Willie Theron R10k; 6 Wynand Wolmarans R10",Ryan Louw wins 2017 Entelect Challenge,Entelect,https://entelect.co.za/ryan-louw-wins-2017-entelect-challenge/,2017-10-06,Organiser announcement,Primary,Unknown,2026-08-26,"Finals at rAge Expo 7 Oct: 1 Ryan Louw (Colonel Panic, C#, R70k); 2 Dion van Huyssteen R35k; 3 Anesu Jairosi R25k; 4 Jaco Mostert R25k; 5 Willie Theron R10k; 6 Wynand Wolmarans R10k; Battleships-based game, six months of play",Strong
EV0033,P0016,E021,2023 finals full order: 1 Purpose Katakwa R70k; 2 Kobus van Schoor R35k; 3 Anesu Jairosi R25k; 4 Willie Theron R25k (extends Phase-1 record which listed only top 3),The Winners of the 2023 Entelect Challenge Walk Away with R200 000 at Comic Con Africa,MyBroadband,https://mybroadband.co.za/news/industrynews/511140-the-winners-of-the-2023-entelect-challenge-walk-away-with-r200-000-at-comic-con-africa.html,2023-10-11,News article,Secondary,Unknown,2026-08-26,2023 finals full order: 1 Purpose Katakwa R70k; 2 Kobus van Schoor R35k; 3 Anesu Jairosi R25k; 4 Willie Theron R25k (extends Phase-1 record which listed only top 3),Strong
EV0034,Unknown,Unknown,CV states 'Entelect Challenge 2022: 1st Place' and 'Winning AI Bot (Entelect Challenge)' — independent participant-side corroboration of the organiser-recorded 2022 championship; e,Kobus van Schoor — CV (personal site),kobusvs.co.za (self-published CV),https://kobusvs.co.za/files/Kobus%20van%20Schoor%20-%20Resume.pdf,2026 (CV),Public professional profile,Participant-generated,Unknown,2026-08-26,CV states 'Entelect Challenge 2022: 1st Place' and 'Winning AI Bot (Entelect Challenge)' — independent participant-side corroboration of the organiser-recorded 2022 championship; establishes personal professional website,Moderate (corroborating)
EV0035,Unknown,E010,Independent corroboration of Hack.Jozi 2016 results (Hutiri/Technovera top spot; 10 finalists) — §27 winner re-verification pass,E-health startup wins $64k at #Hack.Jozi Challenge,Bizcommunity,https://www.bizcommunity.com/Article/196/708/145132.html,2016-05-23,News article,Secondary,Unknown,2026-08-26,Independent corroboration of Hack.Jozi 2016 results (Hutiri/Technovera top spot; 10 finalists) — §27 winner re-verification pass,Moderate
EV0036,Unknown,E102,"Security Summit hackathon 'now in its seventh year' (2023), curated by ITWeb in partnership with Geekulcha, 6-7 June 2023 Sandton Convention Centre — consistent with #SS20Hack 'fou",IDEMIA North America LinkedIn post (Security Summit hackathon),IDEMIA (LinkedIn),https://www.linkedin.com/posts/idemia-north-america_employeespotlight-weareidemia-lovewhereyouwork-activity-7087891472527605761-YG4B,2023-07-20,Partner social post,Secondary,Unknown,2026-08-26,"Security Summit hackathon 'now in its seventh year' (2023), curated by ITWeb in partnership with Geekulcha, 6-7 June 2023 Sandton Convention Centre — consistent with #SS20Hack 'fourth annual' (2020): series began 2017 with editions through 2023 incl. 2021",Weak (contextual)
EV0037,P0028 ; P0029 ; P0030 ; P0031 ; P0032 ; P0033 ; P0034 ; P0035 ; P0036 ; P0037 ; P0038 ; P0039,E012,"FULL PARTICIPANT RECOVERY (resolves C07/G025): hackathons held 1-2 April 2016 in Cape Town ({code}bridge), Durban (The Green Door) and Pretoria (The Innovation Hub); challenge dead","{code}bridge — Hack4Water hackathons (Wayback Machine snapshot, identity render)",{code}bridge via web.archive.org,http://web.archive.org/web/20190907072855id_/http://www.codebridge.co.za:80/allevents/hack4water-hackathons.html,2016 (snapshot 2019-09-07),Organiser page (archived),Primary,Unknown,2026-08-26,"FULL PARTICIPANT RECOVERY (resolves C07/G025): hackathons held 1-2 April 2016 in Cape Town ({code}bridge), Durban (The Green Door) and Pretoria (The Innovation Hub); challenge deadline 20 April; focus areas listed. Teams: Cape Town — Water Impacters (Yolanda, Chelsea Lewis, Adi Eyal, Raymond Joseph); The Source (Lindokuhle Sixabayi, Malyke, Charney Essack, Ashton Maherry, Rosalind Skelton, Shabier Jacobs, Wendy Samsodien); Water Apocalypse (Liesl Pretorius, Bobby Dean, Safiyyah Jacobs, Azraa Vally, Tracy-Anne Sikenjana); Wataware (Charles Rerhman, Bernelle Verster, Gordon, Laban Bagui, JD Bothma, Hendrik Schalekamp). Durban — Water Wardens (Heiko Heilgendorff, Bruce Page, Thuthukani Nxumalo, Johanna Singh, James Smith); Fix It (Justus Caspers, Sandile Nkomonde, Max Grau, Wiseman Mkhwanazi, Avanti Maharaj, James Smith); Power Shower (Sibusiso Mhlongo, Matthew Adendorff, Tricia Govindasamy); other participants (8 named). Pretoria — 21 names incl. Mpfumeri Baloyi, Jonathan Mayunga, Wishes",Strong
