Unresolved_ID,Name_As_Published,Hackathon,Context_What_Is_Missing,Suggested_Next_Avenues,Evidence_Source_IDs,Status,Date_Noted
U019,True Author (team),#SS19Hack 2019,3rd place (Watchr); members not published,Search team name,S45,Unresolved — not publicly verified,2026-08-26
U020,Red team / Blue team (JHB CTF),#SS19Hack 2019,CTF 1st/2nd; members not published,As above,S45,Unresolved — not publicly verified,2026-08-26
U021,Zaka (developers),MTN MoMo API Hackathon 2023,1st place; developer names not published in located coverage,"MTN MoMo press, LinkedIn dev community posts",S44,Unresolved — not publicly verified,2026-08-26
U022,Tataimali / Tata Imali (developers),MTN MoMo API Hackathon 2023,2nd place; developer names not published,As above,S44,Unresolved — not publicly verified,2026-08-26
U023,MoLo (developers),MTN MoMo API Hackathon 2023,3rd place; developer names not published,As above,S44,Unresolved — not publicly verified,2026-08-26
U024,The Blue Marble (Space Decode),NASA Space Apps SA 2013,Local award project; members not published,"2013 Space Apps project pages, GitHub",S22,Unresolved — not publicly verified,2026-08-26
U025,Solar system simulator team,NASA Space Apps SA 2013,Local award project (Database of Near Earth Objects); members not published,As above,S22,Unresolved — not publicly verified,2026-08-26
U026,Augmented Solar System team,NASA Space Apps SA 2013,Local award project (Reach for the Stars); members not published,As above,S22,Unresolved — not publicly verified,2026-08-26
U027,SmartT Resources team,NASA Space Apps SA 2013,Local award project (Smart Cities & Smart Climate); members not published,As above,S22,Unresolved — not publicly verified,2026-08-26
U028,Geekulcha electronics-app team (RHoK PTA),RHoK Pretoria 2014,1st place solution; member names not published,mLab/Geekulcha archives,S19,Unresolved — not publicly verified,2026-08-26
U029,UNISA MyCampus Buildings team,RHoK Pretoria 2014,2nd place; members not published,As above,S19,Unresolved — not publicly verified,2026-08-26
U030,P-STEM portal team,RHoK Pretoria 2014,3rd place; members not published,As above,S19,Unresolved — not publicly verified,2026-08-26
U031,ECTracker team members (beyond Farah Jawitz),Hacking Health Cape Town 2014,Winner 'team led by' Jawitz; other members not published,"UCT IHI archives, team members' profiles",S23,Unresolved — not publicly verified,2026-08-26
U032,Pulse runner-up team(s),#GovHackSA 2014,Runner-up(s) unnamed (Lean Startup voucher prize),mLab blog archives,S24,Unresolved — not publicly verified,2026-08-26
U033,UJ ACSSE GradHack 2015 winning team,Discovery GradHack 2015,Winners confirmed at institution level only; names not published,UJ ACSSE news archive,S26,Unresolved — not publicly verified,2026-08-26
U034,UCT IS GradHack 2017 winning team,Discovery GradHack 2017,Winners confirmed at institution level only; names not published,"UCT news archive, LinkedIn alumni",S28,Unresolved — not publicly verified,2026-08-26
U035,Health Guardians (team),Standard Bank UniHack 2024,2nd place; members not published,ITWeb/Standard Bank follow-ups,S38,Unresolved — not publicly verified,2026-08-26
U036,EduDev (team),Standard Bank UniHack 2024,3rd place; members not published,As above,S38,Unresolved — not publicly verified,2026-08-26
U037,My EduVault (team),Standard Bank UniHack 2025,2nd place; members not published,Standard Bank newsroom,S39,Unresolved — not publicly verified,2026-08-26
U038,AI Mental Health Solution (team),Standard Bank UniHack 2025,3rd place; members not published,As above,S39,Unresolved — not publicly verified,2026-08-26
U039,Hackernauts (SA+Prague),Absa Technology Hackathon 2024,1st place (internal); members not published,Absa internal comms / LinkedIn employee posts,S46,Unresolved — not publicly verified,2026-08-26
U040,Teamo Supremo (SA),Absa Technology Hackathon 2024,3rd place (internal); members not published,As above,S46,Unresolved — not publicly verified,2026-08-26
U041,Mighty Pythons (SA),Absa Technology Hackathon 2025,AI for Impact winners (internal); members not published,As above,S48,Unresolved — not publicly verified,2026-08-26
U042,Hustle Hub (SA),Absa Technology Hackathon 2025,Blue Sky co-winner (internal); members not published,As above,S48,Unresolved — not publicly verified,2026-08-26
U043,Two unnamed SA winners,Kuunda Disrupt Hackathon 2025,Two SA-based winners described by solution only,Standard Bank internal comms,S42,Unresolved — not publicly verified,2026-08-26
U044,The Recycling Rangers (12 pupils),Kuunda Disrupt schools 2024,Winning team from Effingham Heights Primary; pupil names not published,School communications,S43,Unresolved — not publicly verified,2026-08-26
U045,Gig Guide / I'm Interested / Wits Locate teams,Wits Student App Challenge 2015,Top-3 teams; members not published,Wits DIZ archives,S50,Unresolved — not publicly verified,2026-08-26
U046,Wits Meal App / IQMates / Bus Control teams,Wits Student App Challenge 2015,Category award winners; members not published,As above,S50,Unresolved — not publicly verified,2026-08-26
U047,Need A Book / Wits Happening / 24 developers,Wits Student App Challenge 2015,Best-presentation developers; names not published,As above,S50,Unresolved — not publicly verified,2026-08-26
U048,greenhouse project team,NWU Hackday 2016,Winning team; members not captured from PDF,NWU IT News 2016 PDF (full read-through pending),S37,Unresolved — not publicly verified,2026-08-26
U049,virtual museum team,NWU Hackday 2016,Winning team; members not captured from PDF,As above,S37,Unresolved — not publicly verified,2026-08-26
U050,Ubuntu Hackers / Cybergeeks / Bit by Bit,Tshwane Varsity Hackathon 2025,Top-3 teams; member names not published,"TUT newsroom, partner posts",S58,Unresolved — not publicly verified,2026-08-26
U051,Master Hackers / Ctrl Alt & Defeat / Byte Bandits,Limpopo Varsity Hackathon 2025,Top-3 teams; member names not published,TUT/UL newsroom,S57,Unresolved — not publicly verified,2026-08-26
U052,Mzansi Shield full roster (beyond confirmed pair),CyberSecureTech Hackathon 2025,Caption ambiguity: possible members Titelo Maleka (TUT) & Sigidane Khumbudzo — recorded as Low-confidence probable members,UNIVEN original captions/photos,"S59,S60",Unresolved — not publicly verified,2026-08-26
U053,Data Defence Solutions / Zero Trust teams,CyberSecureTech Hackathon 2025,Joint 3rd place; members not published,UNIVEN news,S59,Unresolved — not publicly verified,2026-08-26
U054,Team Direla members,UCT FIH x Interledger Hackathon 2025,1st place; member names not published in located coverage,Interledger/UCT FIH posts,S62,Unresolved — not publicly verified,2026-08-26
U055,Team FlowFi members,UCT FIH x Interledger Hackathon 2025,3rd place; members not published,As above,S62,Unresolved — not publicly verified,2026-08-26
U056,Two unnamed teammates of Kerry-Lynne White,UCT FIH x Interledger Hackathon 2026,Winning trio; only one member named,EWN/UCT FIH follow-ups,S63,Unresolved — not publicly verified,2026-08-26
U057,SmartWare team,Hackathons for SA #GBV — Cape Town 2020,Winning team; members not published,Silicon Cape/organiser archives,S66,Unresolved — not publicly verified,2026-08-26
U058,Basket (team),Township Tech Hackathon 2021,Theme winner; members not published,CiTi,S67,Unresolved — not publicly verified,2026-08-26
U059,Cyberspace (team),Township Tech Hackathon 2021,Theme winner; members not published,CiTi,S67,Unresolved — not publicly verified,2026-08-26
U060,Ubunifu (team),AB4IR Hackathon 2021,2nd place; members not published,AB4IR socials,S68,Unresolved — not publicly verified,2026-08-26
U061,My Universe (team),AB4IR Hackathon 2021,3rd place; members not published,As above,S68,Unresolved — not publicly verified,2026-08-26
U062,Recursive Redemption full roster (beyond Molvi & Botes),DIRISA Datathon 2022,1st place team; only poster awardees named,DIRISA/UJ,S70,Unresolved — not publicly verified,2026-08-26
U063,Eagles (NWU) / DataTude (SPU) / Mighty Ridge (Saulridge) rosters,DIRISA Datathon 2022,2nd/3rd/best-team rosters not published,DIRISA,S70,Unresolved — not publicly verified,2026-08-26
U064,The Domain'ators (SPU) roster,DIRISA Datathon 2023,Technical + poster winner; members not published,DIRISA/SPU,"S71,S72",Unresolved — not publicly verified,2026-08-26
U065,Wits & UNIZULU technical-challenge teams,DIRISA Datathon 2023,2nd/3rd technical; members not published,DIRISA,S71,Unresolved — not publicly verified,2026-08-26
U066,Fix8t roster (beyond Slinda),DIRISA Datathon 2023,Best team; only bursary winner named,DIRISA/University of Mpumalanga,S72,Unresolved — not publicly verified,2026-08-26
U067,8 IEB-TechWays winning school teams (learners),IEB-TechWays National AI Hackathon 2026,School teams recognised; learner names not published,IEB/TechWays,S73,Unresolved — not publicly verified,2026-08-26
U068,Gridwise 10X / Chromomark / Civic Eye / SIRRS / Aqua Guard AI (learners),Gauteng e-Government Youth Tech Challenge 2026,District teams of 10 learners each; names not published,Gauteng Provincial Government,S76,Unresolved — not publicly verified,2026-08-26
U069,VUT Hackathon 2026 winning team(s),VUT Hackathon 2026,Winners referenced but names not captured in accessed excerpt,VUT newsroom article full text,S80,Unresolved — not publicly verified,2026-08-26
U070,japeyjapes (pseudonymous Entelect 2019 bronze),Entelect Challenge 2019,Pseudonym; real identity not publicly linked on the blog page,"Blog authorship signals, GitHub bot repo",S16,Unresolved — not publicly verified,2026-08-26
U071,2019 Entelect Challenge winner + remaining top-8,Entelect Challenge 2019,Full 2019 rankings not located this pass,"Entelect archives, community wikis",S16,Unresolved — not publicly verified,2026-08-26
U072,Water Wardens / Wataware team members,Hack4Water weekend 2016,Team headers present on organiser page; member names not captured in snapshot,Re-fetch codebridge page (fetch failed this pass),S17,Unresolved — not publicly verified,2026-08-26
